from,to,day_of_week,count
2585387,2585400,Friday,64
2585398,2585408,Friday,64
2585405,2585367,Friday,64
2585477,2585728,Friday,64
2585716,2585460,Friday,64
2585724,2585722,Friday,64
2585748,2586037,Friday,64
2585791,2585789,Friday,64
2585802,4393742,Friday,64
2585902,2585905,Friday,64
2585926,2585924,Friday,64
2585929,2585958,Friday,64
2585939,2585961,Friday,64
2586011,2586018,Friday,64
2586021,2586005,Friday,64
2586028,2586026,Friday,64
2586042,2585978,Friday,64
4585378,2585774,Friday,64
4585378,2585787,Friday,64
2585288,2585297,Friday,63
2585380,2585317,Friday,63
2585381,2585391,Friday,63
2585398,2585714,Friday,63
2585430,2585704,Friday,63
2585431,2585327,Friday,63
2585432,2585811,Friday,63
2585466,2585981,Friday,63
2585477,2585473,Friday,63
2585776,2585764,Friday,63
2585785,2585749,Friday,63
2585785,2585787,Friday,63
2585794,2585772,Friday,63
2585873,2585267,Friday,63
2585906,2585856,Friday,63
2585926,2585920,Friday,63
2585961,2585945,Friday,63
2585983,2585972,Friday,63
2586000,2586011,Friday,63
2586018,2586005,Friday,63
4393742,2585408,Friday,63
4393742,2586000,Friday,63
4393742,2586021,Friday,63
44581598,2585345,Friday,63
2585273,2585283,Friday,62
2585346,2585387,Friday,62
2585425,2585438,Friday,62
2585455,2585714,Friday,62
2585467,2585728,Friday,62
2585476,2585938,Friday,62
2585477,2585467,Friday,62
2585748,2585431,Friday,62
2585762,2585781,Friday,62
2585800,2585791,Friday,62
2585825,2586021,Friday,62
2585838,172294162,Friday,62
2585883,2585899,Friday,62
2585928,2585937,Friday,62
2585960,2585466,Friday,62
2586005,2586009,Friday,62
2586022,2586001,Friday,62
2586028,2586021,Friday,62
4393742,2585450,Friday,62
4393742,2586011,Friday,62
4393742,2586022,Friday,62
2585319,2585984,Friday,61
2585380,2585417,Friday,61
2585400,2585346,Friday,61
2585762,2585764,Friday,61
2585772,3318682,Friday,61
2585787,2585774,Friday,61
2585846,2585850,Friday,61
2585848,2585838,Friday,61
2585883,2585913,Friday,61
2585901,2585893,Friday,61
2585925,2585922,Friday,61
2585978,2586032,Friday,61
2585983,2586000,Friday,61
2585990,2585995,Friday,61
2586000,2586018,Friday,61
2586030,2585748,Friday,61
2586042,2586021,Friday,61
2585265,2585267,Friday,60
2585297,2585278,Friday,60
2585305,2585286,Friday,60
2585364,2585353,Friday,60
2585364,2585369,Friday,60
2585381,2681672,Friday,60
2585406,2585405,Friday,60
2585721,2585776,Friday,60
